date	close
25-Jun-20	72.02
26-Jun-20	72.5
29-Jun-20	72.6
30-Jun-20	72
01-Jul-20	72.1
02-Jul-20	76.15
03-Jul-20	74.5
06-Jul-20	73.7
07-Jul-20	71.9
08-Jul-20	70.97
09-Jul-20	70.61
10-Jul-20	72.5
13-Jul-20	72.5
14-Jul-20	72.11
15-Jul-20	71.55
16-Jul-20	72.55
17-Jul-20	72.52
20-Jul-20	74.75
21-Jul-20	77.4
22-Jul-20	81.95
23-Jul-20	80.59
24-Jul-20	79.5
27-Jul-20	77.2
28-Jul-20	77.75
29-Jul-20	78.48
30-Jul-20	79.96
03-Aug-20	81.25
04-Aug-20	81.45
05-Aug-20	81.97
06-Aug-20	82.1
07-Aug-20	81.01
10-Aug-20	79.85
11-Aug-20	82.72
12-Aug-20	89.99
13-Aug-20	89.25
17-Aug-20	91
18-Aug-20	84.99
19-Aug-20	84.99
20-Aug-20	84.03
21-Aug-20	82
24-Aug-20	80.5
25-Aug-20	80.98
26-Aug-20	83
27-Aug-20	83.5
28-Aug-20	84.98
31-Aug-20	84.79
01-Sep-20	85.89
02-Sep-20	86.6
03-Sep-20	85.75
04-Sep-20	84.02
07-Sep-20	82.6
08-Sep-20	83
09-Sep-20	82.5
10-Sep-20	82.02
11-Sep-20	84.29
14-Sep-20	85.48
15-Sep-20	86.02
16-Sep-20	85.5
17-Sep-20	85.15
18-Sep-20	84.52
21-Sep-20	84.5
22-Sep-20	83.9
23-Sep-20	82.49
24-Sep-20	81.95
25-Sep-20	81.98
28-Sep-20	81.5
29-Sep-20	80
30-Sep-20	81
01-Oct-20	77.5
02-Oct-20	77.93
05-Oct-20	78
06-Oct-20	75.38
07-Oct-20	76.64
08-Oct-20	77.49
09-Oct-20	77.47
12-Oct-20	78.4
13-Oct-20	77.01
14-Oct-20	76.85
15-Oct-20	76.9
16-Oct-20	76.5
19-Oct-20	76.89
20-Oct-20	76.6
21-Oct-20	80.25
22-Oct-20	81.35
23-Oct-20	78.9
26-Oct-20	77.99
27-Oct-20	78.6
28-Oct-20	80.85
29-Oct-20	83.9
02-Nov-20	81.7
03-Nov-20	82.01
04-Nov-20	83
05-Nov-20	81.25
06-Nov-20	82.61
09-Nov-20	81.51
10-Nov-20	82.5
11-Nov-20	81.66
12-Nov-20	81.3
13-Nov-20	79.55
16-Nov-20	80.75
17-Nov-20	81
18-Nov-20	80.08
19-Nov-20	80.4
20-Nov-20	80.54
23-Nov-20	79.3
24-Nov-20	80.39
25-Nov-20	79.71
26-Nov-20	78.45
27-Nov-20	79.5
30-Nov-20	79.01
01-Dec-20	78.65
02-Dec-20	83.8
03-Dec-20	84.89
04-Dec-20	84.5
07-Dec-20	84.99
08-Dec-20	84.7
09-Dec-20	83.85
10-Dec-20	80
11-Dec-20	79.3
14-Dec-20	81.2
15-Dec-20	81.99
16-Dec-20	79.99
17-Dec-20	79.52
18-Dec-20	79.59
21-Dec-20	79
22-Dec-20	77.9
23-Dec-20	77.76
24-Dec-20	78.45
28-Dec-20	78.75
29-Dec-20	79
30-Dec-20	77.51
31-Dec-20	77.98
01-Jan-22	79.55
04-Jan-22	91.66
05-Jan-22	89
06-Jan-22	86.65
07-Jan-22	85.5
08-Jan-22	85.4
11-Jan-22	87
12-Jan-22	86.05
13-Jan-22	85.35
14-Jan-22	85.5
15-Jan-22	85
18-Jan-22	85.45
19-Jan-22	84
20-Jan-22	87.46
21-Jan-22	86.45
22-Jan-22	86
25-Jan-22	86.6
26-Jan-22	87.5
27-Jan-22	87
28-Jan-22	87
29-Jan-22	87.5
01-Feb-22	88.7
02-Feb-22	88.62
03-Feb-22	92
04-Feb-22	91.98
08-Feb-22	91.1
09-Feb-22	92
10-Feb-22	91.69
11-Feb-22	90.55
12-Feb-22	90
15-Feb-22	89.05
16-Feb-22	88
17-Feb-22	88
18-Feb-22	87
19-Feb-22	85.65
22-Feb-22	85.5
23-Feb-22	84.7
24-Feb-22	84.99
25-Feb-22	84.95
26-Feb-22	85.01
01-Mar-21	85.42
02-Mar-21	84.3
03-Mar-21	86.35
04-Mar-21	84
05-Mar-21	84.61
08-Mar-21	87
09-Mar-21	83.82
10-Mar-21	83.75
11-Mar-21	82
12-Mar-21	81.15
15-Mar-21	84.5
16-Mar-21	85.5
17-Mar-21	84.45
18-Mar-21	83.9
19-Mar-21	82.55
22-Mar-21	82.8
24-Mar-21	84.9
25-Mar-21	85.5
26-Mar-21	84.99
29-Mar-21	84.31
30-Mar-21	82.56
31-Mar-21	82.35
01-Apr-21	81.4
02-Apr-21	81.99
05-Apr-21	82
06-Apr-21	80.45
07-Apr-21	83.01
08-Apr-21	78.69
09-Apr-21	79.35
12-Apr-21	80.11
13-Apr-21	79.22
14-Apr-21	79.5
15-Apr-21	79.25
16-Apr-21	79
19-Apr-21	78.99
20-Apr-21	78.25
21-Apr-21	77.76
22-Apr-21	77.15
23-Apr-21	75.92
26-Apr-21	75.11
27-Apr-21	79.1
28-Apr-21	78.4
29-Apr-21	77.1
30-Apr-21	76.3
03-May-21	75.98
04-May-21	74.25
05-May-21	76.5
06-May-21	80
17-May-21	79.15
18-May-21	78.99
19-May-21	79.7
20-May-21	78.44
21-May-21	77.85
24-May-21	78.35
25-May-21	77.85
26-May-21	76.53
27-May-21	77.97
28-May-21	77.8
31-May-21	78.3
01-Jun-21	79.4
02-Jun-21	80
03-Jun-21	80.1
04-Jun-21	79.61
07-Jun-21	82.1
08-Jun-21	80.05
09-Jun-21	80.02
10-Jun-21	78.56
11-Jun-21	78.8
14-Jun-21	79.5
15-Jun-21	78.5
16-Jun-21	81.5
17-Jun-21	81.25
18-Jun-21	80.25
21-Jun-21	80.5
22-Jun-21	80.73
23-Jun-21	80.5
24-Jun-21	80.8
25-Jun-21	82.15
28-Jun-21	81.85
29-Jun-21	81.49
30-Jun-21	79
01-Jul-21	79.8
02-Jul-21	80.95
05-Jul-21	79.5
06-Jul-21	80.94
07-Jul-21	78.6
08-Jul-21	78.85
09-Jul-21	80.4
12-Jul-21	79
13-Jul-21	78.97
14-Jul-21	78.6
15-Jul-21	78.8
16-Jul-21	78.51
19-Jul-21	78.65
23-Jul-21	78.65
26-Jul-21	78.65
27-Jul-21	78.11
28-Jul-21	78.09
29-Jul-21	77
30-Jul-21	77.01
02-Aug-21	76.95
03-Aug-21	77.5
04-Aug-21	77.6
05-Aug-21	77.65
06-Aug-21	76.99
09-Aug-21	76.85
10-Aug-21	75.5
11-Aug-21	75
12-Aug-21	75.75
13-Aug-21	75
16-Aug-21	75.35
17-Aug-21	74.48
20-Aug-21	77.85
23-Aug-21	77.45
24-Aug-21	77
25-Aug-21	77.89
26-Aug-21	77.9
27-Aug-21	78
30-Aug-21	77
31-Aug-21	80
01-Sep-21	80.2
02-Sep-21	79.99
03-Sep-21	79.97
06-Sep-21	80.75
07-Sep-21	80.75
08-Sep-21	80.05
09-Sep-21	79.3
10-Sep-21	80
13-Sep-21	79.5
14-Sep-21	80.5
15-Sep-21	80.35
16-Sep-21	80.45
17-Sep-21	80.2
20-Sep-21	79.49
21-Sep-21	79.05
22-Sep-21	79.31
23-Sep-21	74.79
24-Sep-21	74.15
27-Sep-21	74.75
28-Sep-21	75.3
29-Sep-21	75
30-Sep-21	73.96
01-Oct-21	74
04-Oct-21	74
05-Oct-21	74
06-Oct-21	74.01
07-Oct-21	75
08-Oct-21	74.4
11-Oct-21	74.45
12-Oct-21	74
13-Oct-21	73.48
14-Oct-21	73.6
15-Oct-21	74
18-Oct-21	74.5
20-Oct-21	74.5
21-Oct-21	77.5
22-Oct-21	77.98
25-Oct-21	77.5
26-Oct-21	76.6
27-Oct-21	78
28-Oct-21	78.39
29-Oct-21	77.02
01-Nov-21	76
02-Nov-21	76.99
03-Nov-21	77.9
04-Nov-21	76.76
05-Nov-21	75.26
08-Nov-21	75.95
09-Nov-21	75.35
10-Nov-21	75.45
11-Nov-21	74.39
12-Nov-21	74
15-Nov-21	73.11
16-Nov-21	73.35
17-Nov-21	75
18-Nov-21	74.16
19-Nov-21	74.5
22-Nov-21	74.45
23-Nov-21	73.95
24-Nov-21	73.35
25-Nov-21	72.75
26-Nov-21	69.75
29-Nov-21	72.5
30-Nov-21	74.9
01-Dec-21	74.8
02-Dec-21	74.25
03-Dec-21	71.78
06-Dec-21	72.4
07-Dec-21	72
08-Dec-21	72.5
09-Dec-21	72.79
10-Dec-21	72.01
13-Dec-21	72.34
14-Dec-21	72
